userId,trainerName,trainerDesignation,trainerRating,trainerSpecialization
Emp_189,Derrick,Mobile App Developer (iOS/Android),2,"['Scrum', '.NET', 'Git', 'PHP']"
Emp_143,Jared,Scrum Master,1,"['Machine Learning', 'Django', 'JavaScript', 'Azure']"
Emp_193,Melinda,Business Analyst,2,"['Artificial Intelligence', 'Java', 'HTML', 'Vue.js']"
Emp_195,Michael,Technical Architect,5,"['GraphQL', 'React', 'Flask', 'Artificial Intelligence']"
Emp_107,Jamie,Data Scientist,2,"['Cybersecurity', 'Artificial Intelligence', 'DevOps', 'Network Security']"
Emp_79,Jennifer,IT Support Engineer,1,"['Ruby', 'Statistical Analysis', 'Kubernetes', 'SQL']"
Emp_166,Brandon,Backend Developer,3,"['.NET', 'DevOps', 'Google Cloud Platform', 'Continuous Deployment']"
Emp_56,Donald,Technical Writer (Documentation Specialist),5,"['Continuous Deployment', '.NET', 'RESTful API', 'C#']"
Emp_124,Christopher,Network Engineer,3,"['Vue.js', 'PostgreSQL', 'HTML', 'Git']"
Emp_181,Adam,Quality Assurance Engineer (QA Engineer),4,"['NoSQL', 'Google Cloud Platform', 'PHP', 'Agile Methodologies']"
Emp_30,Jacob,UI/UX Designer,5,"['Agile Methodologies', 'Behavior-Driven Development', 'Python', 'Containerization']"
Emp_24,Jeffrey,Configuration Manager,5,"['Java', 'Network Security', 'Machine Learning', 'CSS']"
Emp_76,Emily,Artificial Intelligence Specialist,4,"['Continuous Deployment', 'Statistical Analysis', 'Artificial Intelligence', 'AWS']"
Emp_104,James,Technical Writer (Documentation Specialist),1,"['Kubernetes', 'NoSQL', 'Containerization', 'React']"
Emp_63,Derrick,Product Manager,1,"['Data Visualization', 'Network Security', 'Python', 'Kotlin']"
Emp_93,Ronald,Cloud Solutions Architect,2,"['Statistical Analysis', 'DevOps', '.NET', 'Python']"
Emp_124,Michael,IT Support Engineer,3,"['Data Analysis', 'Data Visualization', 'GraphQL', 'Behavior-Driven Development']"
Emp_56,Susan,Systems Analyst,3,"['PHP', '.NET', 'CI/CD', 'C#']"
Emp_3,Rebecca,Agile Coach,2,"['NoSQL', 'Network Security', 'Scrum', 'Artificial Intelligence']"
Emp_15,Rebecca,Systems Analyst,1,"['Google Cloud Platform', 'PHP', 'Penetration Testing', 'Azure']"
Emp_111,Courtney,Technical Writer (Documentation Specialist),4,"['SQL', 'Scrum', 'Containerization', 'C#']"
Emp_131,Nathaniel,Cloud Solutions Architect,2,"['Django', 'Microservices', 'Information Security', 'Python']"
Emp_123,Andrew,Software Tester,5,"['Objective-C', 'Java', 'Penetration Testing', 'Microservices']"
Emp_119,Nicholas,Scrum Master,1,"['Git', 'Node.js', 'Data Visualization', 'Artificial Intelligence']"
Emp_188,Robert,Software Engineer,5,"['CI/CD', 'Information Security', 'Vue.js', 'Continuous Deployment']"
Emp_200,Christine,Performance Engineer,5,"['Azure', 'Objective-C', 'Git', 'Continuous Integration']"
Emp_182,Jeffrey,Mobile App Developer (iOS/Android),5,"['Flask', 'Data Visualization', 'Scrum', 'C#']"
Emp_17,Felicia,Agile Coach,4,"['Node.js', 'CI/CD', 'Java', 'Flask']"
Emp_104,Tammy,Business Analyst,3,"['Kubernetes', 'Test-Driven Development', 'NoSQL', 'GraphQL']"
Emp_146,Cassidy,Software Engineer,3,"['SQL', 'Docker', 'CI/CD', 'Network Security']"
Emp_41,Angela,Software Engineer,3,"['SQL', 'Kubernetes', 'Test-Driven Development', 'Machine Learning']"
Emp_171,Lisa,IT Administrator,4,"['PHP', 'Data Science', 'Information Security', 'Machine Learning']"
Emp_40,Tracy,Network Engineer,1,"['Behavior-Driven Development', 'Git', 'C#', 'Statistical Analysis']"
Emp_138,Shannon,Performance Engineer,2,"['Swift', 'PHP', 'Flask', 'Data Science']"
Emp_140,Christopher,Quality Assurance Engineer (QA Engineer),3,"['Data Visualization', 'SQL', 'Django', 'Behavior-Driven Development']"
Emp_90,Jeffrey,Machine Learning Engineer,2,"['Java', 'RESTful API', 'Data Analysis', 'Cryptography']"
Emp_92,Ernest,Agile Coach,3,"['Node.js', 'Cybersecurity', 'Ruby', 'GraphQL']"
Emp_108,George,Technical Architect,4,"['CSS', 'Google Cloud Platform', 'Kubernetes', 'Agile Methodologies']"
Emp_167,Shannon,Mobile App Developer (iOS/Android),5,"['Continuous Deployment', 'Cryptography', 'GraphQL', 'Ruby']"
Emp_68,Lori,Full-stack Developer,3,"['MongoDB', 'Penetration Testing', 'CI/CD', 'Scrum']"
Emp_63,Troy,Machine Learning Engineer,3,"['MySQL', 'Kubernetes', 'Agile Methodologies', 'Continuous Deployment']"
Emp_90,Miguel,Technical Writer (Documentation Specialist),1,"['Python', 'Git', 'NoSQL', 'AWS']"
Emp_15,Judy,Frontend Developer,5,"['Machine Learning', 'JavaScript', 'Artificial Intelligence', 'DevOps']"
Emp_180,Joshua,Customer Support Engineer,5,"['Agile Methodologies', 'Data Visualization', 'AWS', 'Penetration Testing']"
Emp_175,Lucas,Artificial Intelligence Specialist,5,"['Objective-C', 'Statistical Analysis', 'Machine Learning', 'Git']"
Emp_132,Andrew,Security Engineer,3,"['Cryptography', 'HTML', 'AWS', 'Node.js']"
Emp_13,Connie,Backend Developer,5,"['SQL', 'Angular', 'MySQL', 'HTML']"
Emp_124,William,DevOps Engineer,1,"['Ruby', 'Data Analysis', 'GraphQL', 'Azure']"
Emp_106,Brian,Full-stack Developer,5,"['MySQL', 'Node.js', 'RESTful API', 'PHP']"
